Date,Time,Signal,Price,Open,High,Low,Close
2023.12.29,08:00:00,BUY,2072.75,2072.28,2072.82,2071.78,2072.75
2023.12.29,10:55:00,SELL,2068.73,2070.36,2070.45,2068.72,2068.73
2023.12.29,14:25:00,SELL,2067.44,2068.15,2068.23,2067.11,2067.44
2023.12.29,21:50:00,BUY,2067.47,2067.35,2067.8,2067.33,2067.47
2024.01.02,01:15:00,SELL,2065.74,2065.77,2066.28,2065.21,2065.74
2024.01.02,03:05:00,BUY,2067.51,2067.0,2069.67,2066.94,2067.51
2024.01.02,04:10:00,SELL,2064.76,2065.05,2065.11,2064.04,2064.76
2024.01.02,04:20:00,BUY,2066.37,2066.19,2066.48,2065.94,2066.37
2024.01.02,14:00:00,SELL,2067.0,2069.23,2069.5,2066.42,2067.0
2024.01.02,15:50:00,SELL,2067.03,2067.91,2068.03,2064.92,2067.03
2024.01.02,16:40:00,SELL,2065.81,2066.96,2067.28,2062.21,2065.81
2024.01.02,17:05:00,SELL,2067.44,2068.04,2069.12,2067.09,2067.44
2024.01.03,05:10:00,SELL,2063.75,2064.15,2064.28,2063.64,2063.75
2024.01.03,05:40:00,BUY,2065.14,2064.81,2065.21,2064.76,2065.14
2024.01.03,09:15:00,SELL,2061.68,2062.29,2062.31,2061.15,2061.68
2024.01.03,10:05:00,BUY,2063.83,2062.83,2064.36,2062.77,2063.83
2024.01.03,10:20:00,SELL,2061.73,2062.51,2062.66,2061.62,2061.73
2024.01.04,14:10:00,BUY,2044.94,2044.93,2045.58,2044.4,2044.94
2024.01.04,15:30:00,SELL,2041.99,2043.44,2044.07,2040.5,2041.99
2024.01.04,18:20:00,SELL,2044.32,2044.39,2044.81,2044.14,2044.32
2024.01.04,19:00:00,SELL,2043.64,2044.85,2044.85,2043.22,2043.64
2024.01.04,19:15:00,SELL,2042.75,2043.64,2043.74,2042.4,2042.75
2024.01.05,03:10:00,BUY,2047.16,2045.45,2047.53,2045.45,2047.16
2024.01.05,07:10:00,SELL,2043.81,2043.84,2043.93,2043.18,2043.81
2024.01.05,07:35:00,BUY,2045.06,2044.52,2045.24,2044.47,2045.06
2024.01.05,08:10:00,BUY,2044.45,2044.42,2044.61,2044.19,2044.45
2024.01.05,08:20:00,SELL,2043.07,2043.63,2044.08,2042.8,2043.07
2024.01.05,09:15:00,BUY,2045.83,2045.08,2046.9,2044.88,2045.83
2024.01.05,09:45:00,SELL,2043.57,2043.67,2043.88,2043.14,2043.57
2024.01.05,09:55:00,SELL,2043.16,2043.88,2043.94,2043.1,2043.16
2024.01.05,16:10:00,SELL,2039.73,2041.52,2042.2,2038.76,2039.73
2024.01.05,16:25:00,BUY,2046.86,2043.56,2048.71,2043.16,2046.86
2024.01.05,16:45:00,BUY,2045.35,2044.51,2046.48,2044.2,2045.35
2024.01.05,19:30:00,SELL,2040.68,2041.47,2042.61,2040.5,2040.68
2024.01.05,20:40:00,BUY,2045.35,2045.21,2046.15,2044.89,2045.35
2024.01.05,22:50:00,BUY,2044.86,2044.71,2044.95,2044.37,2044.86
2024.01.08,01:05:00,BUY,2045.59,2044.7,2045.66,2044.56,2045.59
2024.01.08,02:15:00,BUY,2045.3,2045.08,2045.67,2045.08,2045.3
2024.01.08,17:35:00,SELL,2030.42,2031.44,2031.68,2030.15,2030.42
2024.01.08,19:20:00,SELL,2029.66,2030.64,2030.76,2029.47,2029.66
2024.01.08,21:55:00,BUY,2029.39,2029.01,2029.62,2028.96,2029.39
2024.01.08,22:05:00,SELL,2027.64,2028.54,2028.57,2027.48,2027.64
2024.01.08,23:20:00,BUY,2028.56,2028.38,2028.71,2028.38,2028.56
2024.01.09,01:00:00,BUY,2028.48,2028.19,2028.56,2028.06,2028.48
2024.01.09,10:30:00,BUY,2033.64,2031.82,2033.72,2031.68,2033.64
2024.01.09,15:30:00,BUY,2035.71,2033.23,2035.72,2033.2,2035.71
2024.01.09,17:45:00,SELL,2032.56,2032.75,2033.21,2032.47,2032.56
2024.01.10,04:20:00,BUY,2032.27,2032.25,2032.82,2032.21,2032.27
2024.01.10,04:30:00,SELL,2031.41,2031.45,2032.03,2031.39,2031.41
2024.01.10,05:30:00,SELL,2030.74,2031.56,2031.64,2030.64,2030.74
2024.01.10,09:40:00,BUY,2030.99,2030.62,2031.37,2030.5,2030.99
2024.01.10,15:05:00,BUY,2031.6,2031.2,2032.42,2031.13,2031.6
2024.01.10,15:55:00,SELL,2030.28,2030.81,2031.08,2030.07,2030.28
2024.01.10,16:10:00,SELL,2029.74,2030.4,2030.57,2028.84,2029.74
2024.01.10,16:45:00,SELL,2027.34,2029.61,2029.63,2026.4,2027.34
2024.01.11,03:25:00,SELL,2028.19,2028.26,2028.27,2027.69,2028.19
2024.01.11,15:50:00,SELL,2028.52,2028.74,2030.38,2027.48,2028.52
2024.01.11,16:20:00,SELL,2028.76,2030.19,2030.68,2027.82,2028.76
2024.01.11,16:35:00,BUY,2031.95,2031.54,2034.86,2031.54,2031.95
2024.01.11,16:45:00,SELL,2028.15,2029.6,2030.09,2027.24,2028.15
2024.01.11,17:00:00,SELL,2027.13,2029.67,2029.76,2026.75,2027.13
2024.01.11,17:50:00,SELL,2029.62,2030.7,2030.82,2028.58,2029.62
2024.01.11,23:15:00,BUY,2029.48,2028.66,2029.61,2028.66,2029.48
2024.01.15,13:20:00,BUY,2052.32,2052.16,2052.58,2051.98,2052.32
2024.01.15,14:30:00,SELL,2051.67,2052.21,2052.22,2051.36,2051.67
2024.01.15,15:35:00,BUY,2053.57,2052.7,2053.74,2052.66,2053.57
2024.01.15,16:30:00,SELL,2051.73,2052.18,2052.76,2051.69,2051.73
2024.01.15,16:45:00,SELL,2052.24,2052.33,2052.49,2052.01,2052.24
2024.01.15,18:05:00,BUY,2053.81,2053.48,2054.71,2053.44,2053.81
2024.01.15,19:15:00,BUY,2054.52,2054.24,2054.83,2054.24,2054.52
2024.01.15,21:15:00,SELL,2053.79,2054.07,2054.12,2053.66,2053.79
2024.01.16,01:00:00,BUY,2055.23,2054.63,2055.42,2054.43,2055.23
2024.01.16,01:30:00,SELL,2053.78,2054.1,2054.17,2053.4,2053.78
2024.01.16,01:40:00,BUY,2055.04,2054.5,2055.41,2054.33,2055.04
2024.01.16,02:25:00,SELL,2052.56,2053.76,2053.84,2052.22,2052.56
2024.01.17,12:30:00,BUY,2027.59,2025.93,2028.34,2025.93,2027.59
2024.01.17,12:55:00,BUY,2026.1,2026.02,2027.12,2025.44,2026.1
2024.01.17,13:30:00,BUY,2026.24,2025.58,2026.44,2025.56,2026.24
2024.01.17,13:55:00,SELL,2023.92,2024.34,2024.68,2023.75,2023.92
2024.01.17,14:10:00,BUY,2026.47,2026.37,2026.67,2025.6,2026.47
2024.01.17,15:30:00,SELL,2021.76,2023.43,2023.8,2019.12,2021.76
2024.01.17,15:40:00,SELL,2022.44,2024.67,2025.1,2022.2,2022.44
2024.01.18,08:10:00,BUY,2011.34,2010.56,2011.88,2010.56,2011.34
2024.01.18,11:05:00,BUY,2008.91,2008.9,2009.41,2008.78,2008.91
2024.01.18,15:50:00,BUY,2010.37,2010.29,2011.67,2010.29,2010.37
2024.01.18,16:20:00,BUY,2012.04,2010.65,2012.88,2010.46,2012.04
2024.01.19,16:50:00,BUY,2029.28,2027.4,2029.5,2026.97,2029.28
2024.01.19,17:10:00,SELL,2024.69,2026.31,2026.31,2024.2,2024.69
2024.01.19,18:00:00,BUY,2028.64,2027.8,2029.58,2027.55,2028.64
2024.01.19,19:35:00,BUY,2027.51,2027.48,2028.66,2027.44,2027.51
2024.01.19,19:55:00,BUY,2029.05,2027.77,2029.06,2027.68,2029.05
2024.01.19,20:15:00,BUY,2027.86,2027.72,2028.62,2027.41,2027.86
2024.01.19,21:00:00,BUY,2028.36,2027.93,2028.38,2027.59,2028.36
2024.01.19,23:00:00,BUY,2028.77,2028.4,2028.77,2028.24,2028.77
2024.01.22,01:10:00,SELL,2027.49,2028.2,2028.41,2027.44,2027.49
2024.01.22,03:05:00,BUY,2030.96,2030.26,2031.03,2029.9,2030.96
2024.01.22,05:15:00,SELL,2027.24,2027.85,2027.91,2026.91,2027.24
2024.01.22,14:15:00,BUY,2027.38,2026.23,2027.51,2026.23,2027.38
2024.01.22,15:30:00,SELL,2022.79,2025.11,2025.36,2022.69,2022.79
2024.01.22,17:55:00,SELL,2024.15,2024.59,2024.78,2023.49,2024.15
2024.01.23,03:05:00,SELL,2022.22,2022.38,2022.53,2021.78,2022.22
2024.01.23,04:20:00,BUY,2022.78,2022.63,2022.98,2022.58,2022.78
2024.01.23,05:25:00,BUY,2023.93,2023.44,2024.3,2023.17,2023.93
2024.01.23,13:25:00,SELL,2023.51,2024.14,2024.15,2022.4,2023.51
2024.01.23,15:15:00,BUY,2026.74,2026.06,2027.32,2026.06,2026.74
2024.01.23,16:10:00,SELL,2024.01,2024.14,2024.19,2023.2,2024.01
2024.01.23,17:10:00,SELL,2024.09,2025.66,2025.67,2023.6,2024.09
2024.01.23,18:05:00,BUY,2026.64,2026.2,2027.15,2026.11,2026.64
2024.01.23,19:00:00,SELL,2025.09,2025.8,2026.11,2024.78,2025.09
2024.01.24,03:50:00,BUY,2027.43,2027.33,2028.14,2027.13,2027.43
2024.01.24,08:40:00,BUY,2027.78,2027.7,2027.92,2026.84,2027.78
2024.01.24,09:05:00,BUY,2027.44,2027.13,2028.14,2027.12,2027.44
2024.01.24,16:45:00,SELL,2024.92,2026.13,2026.48,2023.52,2024.92
2024.01.25,09:20:00,SELL,2015.84,2015.98,2016.47,2015.64,2015.84
2024.01.25,14:25:00,SELL,2014.58,2015.04,2015.17,2014.14,2014.58
2024.01.25,14:45:00,SELL,2014.06,2015.2,2015.39,2013.82,2014.06
2024.01.25,15:35:00,BUY,2020.0,2018.05,2022.98,2017.75,2020.0
2024.01.25,20:25:00,BUY,2017.54,2017.32,2018.62,2017.23,2017.54
2024.01.25,20:40:00,SELL,2015.38,2015.93,2016.09,2015.22,2015.38
2024.01.25,21:25:00,BUY,2017.9,2017.22,2017.97,2017.02,2017.9
2024.01.26,09:20:00,BUY,2021.16,2020.59,2021.21,2020.12,2021.16
2024.01.26,11:10:00,SELL,2018.54,2019.1,2019.1,2018.42,2018.54
2024.01.26,11:40:00,BUY,2020.67,2020.57,2021.12,2020.57,2020.67
2024.01.26,15:05:00,BUY,2022.52,2022.14,2022.94,2022.14,2022.52
2024.01.26,15:45:00,BUY,2024.28,2022.62,2025.04,2021.56,2024.28
2024.01.26,16:45:00,SELL,2019.86,2020.54,2020.54,2019.12,2019.86
2024.01.29,01:00:00,BUY,2023.81,2023.45,2027.05,2022.8,2023.81
2024.01.29,02:30:00,SELL,2019.87,2020.03,2020.21,2019.52,2019.87
2024.01.29,02:50:00,BUY,2021.38,2020.78,2021.59,2020.72,2021.38
2024.01.29,16:45:00,SELL,2022.2,2024.46,2024.48,2022.08,2022.2
2024.01.29,19:20:00,BUY,2029.64,2028.44,2029.66,2028.44,2029.64
2024.01.29,20:10:00,SELL,2027.14,2027.67,2027.86,2026.95,2027.14
2024.01.29,22:05:00,BUY,2029.86,2029.65,2030.46,2029.14,2029.86
2024.01.30,15:25:00,BUY,2035.42,2035.04,2035.82,2035.04,2035.42
2024.01.30,17:20:00,SELL,2030.96,2033.55,2033.55,2030.18,2030.96
2024.01.30,19:35:00,SELL,2033.75,2033.95,2034.55,2033.75,2033.75
2024.01.30,21:25:00,BUY,2035.7,2035.56,2035.83,2035.41,2035.7
2024.01.30,22:20:00,BUY,2036.29,2036.0,2036.47,2035.95,2036.29
2024.01.31,01:45:00,BUY,2036.48,2036.37,2036.58,2036.21,2036.48
2024.01.31,03:15:00,BUY,2036.62,2036.61,2036.7,2036.46,2036.62
2024.01.31,03:35:00,SELL,2035.46,2035.47,2035.6,2035.1,2035.46
2024.01.31,08:10:00,SELL,2035.24,2035.49,2035.52,2035.17,2035.24
2024.01.31,09:15:00,BUY,2037.37,2036.77,2037.48,2036.75,2037.37
2024.01.31,21:05:00,BUY,2044.87,2044.66,2048.42,2043.77,2044.87
2024.01.31,21:25:00,BUY,2042.47,2042.04,2042.97,2041.12,2042.47
2024.02.01,02:45:00,SELL,2041.26,2041.94,2042.03,2041.26,2041.26
2024.02.01,04:10:00,BUY,2045.96,2044.54,2046.1,2044.53,2045.96
2024.02.01,08:15:00,SELL,2042.61,2043.88,2044.17,2042.61,2042.61
2024.02.01,15:50:00,BUY,2040.97,2040.67,2042.16,2040.67,2040.97
2024.02.01,17:05:00,BUY,2048.11,2046.53,2048.27,2045.33,2048.11
2024.02.02,10:05:00,BUY,2056.37,2055.59,2056.57,2055.58,2056.37
2024.02.02,10:35:00,BUY,2055.93,2055.43,2056.13,2055.23,2055.93
2024.02.02,10:55:00,SELL,2054.07,2054.33,2054.43,2053.7,2054.07
2024.02.02,12:35:00,SELL,2054.24,2054.29,2054.48,2053.79,2054.24
2024.02.02,12:55:00,SELL,2054.71,2054.84,2054.97,2054.4,2054.71
2024.02.02,13:10:00,SELL,2054.18,2054.5,2054.51,2053.73,2054.18
2024.02.02,13:25:00,BUY,2055.42,2055.29,2055.51,2055.2,2055.42
2024.02.02,15:10:00,BUY,2056.44,2055.54,2056.73,2055.44,2056.44
2024.02.02,15:25:00,SELL,2052.32,2053.65,2053.97,2051.62,2052.32
2024.02.05,20:30:00,BUY,2026.8,2026.63,2027.07,2026.51,2026.8
2024.02.05,20:45:00,BUY,2026.61,2026.0,2026.62,2025.96,2026.61
2024.02.05,21:05:00,BUY,2027.05,2025.95,2027.54,2025.89,2027.05
2024.02.05,22:15:00,SELL,2024.27,2024.46,2024.68,2024.06,2024.27
2024.02.05,22:30:00,BUY,2025.54,2025.12,2025.78,2025.09,2025.54
2024.02.05,23:10:00,BUY,2025.01,2024.66,2025.04,2024.64,2025.01
2024.02.05,23:35:00,BUY,2024.7,2024.48,2024.76,2024.42,2024.7
2024.02.06,01:35:00,BUY,2024.89,2024.3,2024.89,2023.99,2024.89
2024.02.06,06:15:00,BUY,2024.61,2024.09,2024.86,2023.98,2024.61
2024.02.06,10:20:00,BUY,2025.99,2025.89,2026.15,2025.28,2025.99
2024.02.06,10:45:00,SELL,2024.99,2025.18,2025.18,2024.62,2024.99
2024.02.06,12:25:00,SELL,2024.47,2025.36,2025.38,2024.28,2024.47
2024.02.06,13:35:00,BUY,2026.94,2026.52,2027.52,2026.52,2026.94
2024.02.06,14:30:00,SELL,2024.94,2025.44,2025.61,2024.58,2024.94
2024.02.07,07:55:00,SELL,2033.4,2034.16,2034.16,2033.29,2033.4
2024.02.07,09:25:00,BUY,2035.81,2035.11,2035.87,2035.09,2035.81
2024.02.07,10:10:00,SELL,2034.02,2034.62,2035.04,2033.96,2034.02
2024.02.07,13:30:00,BUY,2035.53,2035.01,2035.56,2034.88,2035.53
2024.02.07,15:35:00,BUY,2035.98,2034.86,2036.69,2034.78,2035.98
2024.02.07,15:55:00,BUY,2036.16,2035.81,2036.24,2035.57,2036.16
2024.02.07,16:40:00,BUY,2040.32,2036.76,2041.86,2036.1,2040.32
2024.02.07,19:40:00,BUY,2035.58,2035.57,2036.18,2035.38,2035.58
2024.02.07,19:50:00,BUY,2035.57,2035.3,2035.99,2035.2,2035.57
2024.02.07,20:10:00,BUY,2036.64,2036.3,2036.68,2036.02,2036.64
